iter	Passed	Remaining
872	3826	556
873	3830	552
874	3834	547
875	3838	543
876	3843	538
877	3847	534
878	3851	530
879	3855	525
880	3859	521
881	3863	516
882	3867	512
883	3871	508
884	3876	503
885	3880	499
886	3884	494
887	3888	490
888	3893	486
889	3897	481
890	3901	477
891	3905	472
892	3910	468
893	3914	464
894	3918	459
895	3922	455
896	3927	450
897	3931	446
898	3935	442
899	3939	437
900	3943	433
901	3948	428
902	3952	424
903	3956	420
904	3960	415
905	3964	411
906	3969	406
907	3973	402
908	3977	398
909	3981	393
910	3985	389
911	3990	385
912	3997	380
913	4002	376
914	4006	372
915	4011	367
916	4015	363
917	4020	359
918	4025	354
919	4029	350
920	4034	346
921	4038	341
922	4042	337
923	4047	332
924	4051	328
925	4055	324
926	4060	319
927	4064	315
928	4069	310
929	4073	306
930	4078	302
931	4082	297
932	4086	293
933	4090	289
934	4095	284
935	4100	280
936	4104	275
937	4109	271
938	4113	267
939	4117	262
940	4122	258
941	4126	254
942	4130	249
943	4134	245
944	4139	240
945	4143	236
946	4147	232
947	4152	227
948	4156	223
949	4161	219
950	4164	214
951	4169	210
952	4173	205
953	4178	201
954	4182	197
955	4186	192
956	4191	188
957	4195	183
958	4200	179
959	4204	175
960	4208	170
961	4212	166
962	4217	162
963	4221	157
964	4225	153
965	4230	148
966	4234	144
967	4239	140
968	4243	135
969	4248	131
970	4252	127
971	4256	122
972	4261	118
973	4265	113
974	4269	109
975	4274	105
976	4278	100
977	4282	96
978	4286	91
979	4291	87
980	4295	83
981	4299	78
982	4304	74
983	4308	70
984	4312	65
985	4317	61
986	4321	56
987	4325	52
988	4329	48
989	4334	43
990	4338	39
991	4342	35
992	4347	30
993	4351	26
994	4356	21
995	4360	17
996	4364	13
997	4368	8
998	4372	4
999	4376	0
